proj,in-function,comment,atom,count
gcc,false,false,macro-operator-precedence,3
webkit,false,false,conditional,49
subversion,false,false,macro-operator-precedence,10
freebsd,true,true,repurposed-variable,939
httpd,true,true,repurposed-variable,3
clang,false,true,post-increment,15
linux,false,false,type-conversion,1
clang,true,true,comma-operator,150
git,true,false,type-conversion,7
emacs,true,false,logic-as-control-flow,276
nginx,true,false,assignment-as-value,8
emacs,true,false,omitted-curly-braces,12245
vim,true,false,post-increment,508
gecko-dev,true,false,conditional,22255
emacs,true,true,operator-precedence,154
webkit,true,true,logic-as-control-flow,1
subversion,true,true,conditional,54
freebsd,true,false,repurposed-variable,23331
subversion,true,false,post-increment,299
linux,true,false,logic-as-control-flow,1723
vim,true,false,logic-as-control-flow,82
vim,true,true,,55493
emacs,true,true,assignment-as-value,32
clang,false,false,pre-increment,21
mongo,true,false,omitted-curly-braces,42598
mysql-server,true,true,literal-encoding,3
linux,true,false,operator-precedence,495409
webkit,false,false,assignment-as-value,12
mongo,false,false,operator-precedence,357
freebsd,false,true,literal-encoding,89
mysql-server,true,true,comma-operator,128
clang,false,true,pre-increment,26
git,true,true,repurposed-variable,12
httpd,true,true,pre-increment,4
gcc,true,false,omitted-curly-braces,172947
