selection,parent-type,node-type,child-type,count
operator-precedence,shiftRight,not,<IdExpression>,13
superfluous-parens,sizeof,bracketedPrimary,array-subscript,3873
superfluous-parens,array-subscript,bracketedPrimary,function-call,34
parens,binaryXor,bracketedPrimary,logicalOr,27
parens,plus2,bracketedPrimary,bracketedPrimary,87
parens,not,bracketedPrimary,minus2,42
operator-precedence,binaryOr,multiply,,172
parens,cast,bracketedPrimary,tilde,22
superfluous-parens,minusAssign,bracketedPrimary,plus2,287
parens,plus2,bracketedPrimary,lessThan,249
superfluous-parens,bracketedPrimary,bracketedPrimary,binaryOr,29
superfluous-parens,sizeof,bracketedPrimary,postFixIncr,4
parens,prefixDecr,bracketedPrimary,function-call,8
superfluous-parens,expression-list,bracketedPrimary,notequals,2
superfluous-parens,notequals,bracketedPrimary,sizeof,4
operator-precedence,binaryXor,minus1,field-reference,1
superfluous-parens,expression-list,bracketedPrimary,field-reference,9
parens,sizeof,bracketedPrimary,<UnaryExpression>,1
parens,notequals,bracketedPrimary,assign,16611
superfluous-parens,logicalAnd,bracketedPrimary,bracketedPrimary,991
superfluous-parens,divideAssign,bracketedPrimary,shiftLeft,13
parens,plus2,bracketedPrimary,lessEqual,43
operator-precedence,shiftRight,tilde,field-reference,9
superfluous-parens,conditional,bracketedPrimary,lessThan,2725
parens,multiplyAssign,bracketedPrimary,greaterEqual,1
parens,plus2,bracketedPrimary,logicalOr,58
operator-precedence,binaryAnd,tilde,<LiteralExpression>,4930
operator-precedence,expression-list,binaryOr,,263
parens,assign,bracketedPrimary,divide,657
parens,greaterThan,bracketedPrimary,<LambdaExpression>,62
parens,logicalAnd,bracketedPrimary,field-reference,1165
superfluous-parens,amper,bracketedPrimary,function-call,255
parens,conditional,bracketedPrimary,plusAssign,15
operator-precedence,star,postFixDecr,<IdExpression>,569
superfluous-parens,greaterThan,bracketedPrimary,shiftLeft,409
operator-precedence,shiftLeft,minus1,<IdExpression>,139
operator-precedence,notequals,minus1,function-call,6
parens,<CaseStatement>,bracketedPrimary,binaryOr,557
superfluous-parens,binaryOr,bracketedPrimary,plus2,411
parens,binaryAndAssign,bracketedPrimary,shiftLeft,60
parens,binaryOr,bracketedPrimary,<CompoundStatementExpression>,2
parens,bracketedPrimary,bracketedPrimary,postFixIncr,94
parens,minus2,bracketedPrimary,<IdExpression>,4093
parens,cast,bracketedPrimary,greaterThan,101
parens,multiply,bracketedPrimary,sizeof,20
superfluous-parens,pmdot,bracketedPrimary,<IdExpression>,6
parens,binaryAnd,bracketedPrimary,tilde,1237
parens,binaryAnd,bracketedPrimary,multiply,229
superfluous-parens,shiftRight,bracketedPrimary,tilde,51
parens,greaterEqual,bracketedPrimary,binaryOr,43
superfluous-parens,bracketedPrimary,bracketedPrimary,shiftLeft,102
superfluous-parens,tilde,bracketedPrimary,<IdExpression>,827
superfluous-parens,plus2,bracketedPrimary,field-reference,170
parens,shiftLeft,bracketedPrimary,binaryOr,613
parens,expression-list,bracketedPrimary,new,1
superfluous-parens,plus2,bracketedPrimary,<LiteralExpression>,57
superfluous-parens,modulo,bracketedPrimary,postFixIncr,18
operator-precedence,binaryAnd,not,<IdExpression>,187
superfluous-parens,plusAssign,bracketedPrimary,assign,36
parens,equals,bracketedPrimary,not,62
parens,minus1,bracketedPrimary,plus2,458
parens,tilde,bracketedPrimary,expression-list,4
superfluous-parens,plusAssign,bracketedPrimary,bracketedPrimary,2
operator-precedence,binaryAnd,star,cast,164
parens,minus1,bracketedPrimary,tilde,1
operator-precedence,logicalOr,lessEqual,,624
parens,notequals,bracketedPrimary,binaryOr,757
parens,amper,bracketedPrimary,<UnaryExpression>,1
superfluous-parens,logicalOr,bracketedPrimary,binaryOr,10
superfluous-parens,greaterThan,bracketedPrimary,not,4
parens,binaryXorAssign,bracketedPrimary,assign,13
superfluous-parens,binaryXorAssign,bracketedPrimary,binaryOr,37
parens,not,bracketedPrimary,cast,6
parens,logicalAnd,bracketedPrimary,minusAssign,21
superfluous-parens,bracketedPrimary,bracketedPrimary,expression-list,6
parens,tilde,bracketedPrimary,logicalAnd,5
parens,<TemplateId>,bracketedPrimary,<IdExpression>,27
operator-precedence,plus2,plus1,field-reference,4
operator-precedence,multiply,star,<IdExpression>,21
superfluous-parens,binaryAnd,bracketedPrimary,<LiteralExpression>,54
superfluous-parens,assign,bracketedPrimary,minus2,1307
superfluous-parens,binaryAnd,bracketedPrimary,plus2,4253
superfluous-parens,greaterEqual,bracketedPrimary,array-subscript,6
superfluous-parens,assign,bracketedPrimary,star,1036
superfluous-parens,logicalOr,bracketedPrimary,bracketedPrimary,101
parens,plusAssign,bracketedPrimary,greaterThan,5
superfluous-parens,logicalOr,bracketedPrimary,shiftLeft,8
parens,lessThan,bracketedPrimary,binaryXorAssign,1
superfluous-parens,minus1,bracketedPrimary,<TypeIdExpression>,2
operator-precedence,logicalAnd,postFixDecr,<IdExpression>,10
operator-precedence,shiftLeft,minus1,array-subscript,1
parens,<Enumerator>,bracketedPrimary,greaterThan,1
parens,plus1,bracketedPrimary,plusAssign,2
parens,multiply,bracketedPrimary,shiftRight,1180
parens,binaryOr,bracketedPrimary,plus2,411
operator-precedence,multiply,minus1,array-subscript,164
parens,binaryXorAssign,bracketedPrimary,lessThan,1
operator-precedence,binaryOr,notequals,,21
parens,<FieldDeclarator>,bracketedPrimary,expression-list,2
superfluous-parens,shiftLeft,bracketedPrimary,function-call,429
operator-precedence,tilde,minus1,tilde,6
superfluous-parens,new,bracketedPrimary,cast,2
parens,tilde,bracketedPrimary,minus2,1463
parens,bracketedPrimary,bracketedPrimary,multiply,7597
parens,plus2,bracketedPrimary,shiftLeft,8928
parens,array-subscript,bracketedPrimary,lessThan,2
parens,<InitializerList>,bracketedPrimary,binaryAnd,26
parens,sizeof,bracketedPrimary,plus2,38
operator-precedence,binaryAnd,tilde,tilde,1
parens,<ForStatement>,bracketedPrimary,lessEqual,6
parens,logicalOr,bracketedPrimary,binaryAndAssign,3
superfluous-parens,logicalAnd,bracketedPrimary,field-reference,1160
operator-precedence,expression-list,minus1,cast,2
operator-precedence,lessEqual,shiftRight,,35
operator-precedence,plus2,plus2,,454
superfluous-parens,binaryXorAssign,bracketedPrimary,multiply,2
superfluous-parens,equals,bracketedPrimary,<IdExpression>,189
superfluous-parens,binaryXor,bracketedPrimary,shiftLeft,676
parens,shiftLeft,bracketedPrimary,lessThan,19
operator-precedence,binaryAnd,minus1,field-reference,28
parens,minusAssign,bracketedPrimary,plus2,292
superfluous-parens,multiply,bracketedPrimary,<LiteralExpression>,294
parens,<ExpressionStatement>,bracketedPrimary,minus2,1
operator-precedence,multiply,not,not,67
superfluous-parens,star,bracketedPrimary,bracketedPrimary,17
parens,binaryXor,bracketedPrimary,<SimpleTypeConstructorExpression>,2
parens,sizeof,bracketedPrimary,star,39387
parens,minusAssign,bracketedPrimary,divideAssign,1
